PO_Number,Supplier,Category,Spend,Order_Date
PO102,Supplier 24,Raw Materials,7130.78,2024-04-11
PO103,Supplier 1,IT Equipment,2490.13,2024-04-12
PO104,Supplier 44,IT Equipment,24818.25,2024-04-13
PO105,Supplier 8,Maintenance,4326.94,2024-04-14
PO106,Supplier 24,Maintenance,24716.31,2024-04-15
PO107,Supplier 11,Maintenance,24443.36,2024-04-16
PO108,Supplier 17,Raw Materials,19948.54,2024-04-17
PO109,Supplier 8,Maintenance,16655.86,2024-04-18
PO110,Supplier 35,Raw Materials,14656.27,2024-04-19
PO111,Supplier 35,Maintenance,21719.49,2024-04-20
PO112,Supplier 33,Chemicals,7591.27,2024-04-21
PO113,Supplier 5,IT Equipment,11958.19,2024-04-22
PO114,Supplier 42,Maintenance,15675.05,2024-04-23
PO115,Supplier 39,Packaging,10574.17,2024-04-24
PO116,Supplier 41,IT Equipment,10973.42,2024-04-25
PO117,Supplier 28,IT Equipment,8591.97,2024-04-26
PO118,Supplier 7,Maintenance,14323.68,2024-04-27
PO119,Supplier 9,Logistics,21339.08,2024-04-28
PO120,Supplier 8,Maintenance,5437.45,2024-04-29
PO121,Supplier 12,IT Equipment,23393.61,2024-04-30
PO122,Supplier 34,Packaging,17382.65,2024-05-01
PO123,Supplier 33,IT Equipment,20670.19,2024-05-02
PO124,Supplier 48,Packaging,14126.67,2024-05-03
PO125,Supplier 23,Raw Materials,19598.16,2024-05-04
PO126,Supplier 24,Chemicals,896.91,2024-05-05
PO127,Supplier 37,IT Equipment,20550.32,2024-05-06
PO128,Supplier 35,Maintenance,1483.4,2024-05-07
PO129,Supplier 44,Raw Materials,22302.88,2024-05-08
PO130,Supplier 40,Chemicals,24803.09,2024-05-09
PO131,Supplier 22,Maintenance,7704.65,2024-05-10
PO132,Supplier 27,Logistics,5652.8,2024-05-11
PO133,Supplier 35,Maintenance,19251.4,2024-05-12
PO134,Supplier 1,Packaging,6699.15,2024-05-13
PO135,Supplier 35,Packaging,21706.28,2024-05-14
PO136,Supplier 37,Logistics,3019.64,2024-05-15
PO137,Supplier 47,Raw Materials,3585.9,2024-05-16
PO138,Supplier 14,Chemicals,24489.21,2024-05-17
PO139,Supplier 3,Maintenance,17009.05,2024-05-18
PO140,Supplier 1,Packaging,21248.74,2024-05-19
PO141,Supplier 5,Raw Materials,8446.07,2024-05-20
PO142,Supplier 26,Logistics,17073.85,2024-05-21
PO143,Supplier 14,IT Equipment,15058.92,2024-05-22
PO144,Supplier 39,Packaging,15277.18,2024-05-23
PO145,Supplier 27,Logistics,17222.05,2024-05-24
PO146,Supplier 9,Maintenance,14596.3,2024-05-25
PO147,Supplier 15,Chemicals,11012.03,2024-05-26
PO148,Supplier 15,Packaging,7260.11,2024-05-27
PO149,Supplier 26,Packaging,19330.24,2024-05-28
PO150,Supplier 42,Maintenance,6043.67,2024-05-29
PO151,Supplier 13,IT Equipment,17462.68,2024-05-30
PO152,Supplier 32,Raw Materials,6216.65,2024-05-31
PO153,Supplier 39,Chemicals,15820.59,2024-06-01
PO154,Supplier 49,Packaging,18803.42,2024-06-02
PO155,Supplier 32,Chemicals,5858.49,2024-06-03
PO156,Supplier 4,Packaging,1968.61,2024-06-04
PO157,Supplier 30,Chemicals,3708.86,2024-06-05
PO158,Supplier 37,Logistics,15346.93,2024-06-06
PO159,Supplier 23,Packaging,21311.44,2024-06-07
PO160,Supplier 39,Chemicals,1602.42,2024-06-08
PO161,Supplier 45,Raw Materials,18486.71,2024-06-09
PO162,Supplier 15,Logistics,8862.31,2024-06-10
PO163,Supplier 43,Logistics,12223.95,2024-06-11
PO164,Supplier 29,Raw Materials,23257.06,2024-06-12
PO165,Supplier 36,Chemicals,8633.3,2024-06-13
PO166,Supplier 13,Maintenance,11900.75,2024-06-14
PO167,Supplier 32,Raw Materials,835.22,2024-06-15
PO168,Supplier 7,Chemicals,2499.17,2024-06-16
PO169,Supplier 22,Raw Materials,6835.49,2024-06-17
PO170,Supplier 28,Raw Materials,1182.38,2024-06-18
PO171,Supplier 2,Packaging,15968.7,2024-06-19
PO172,Supplier 42,Chemicals,10946.76,2024-06-20
PO173,Supplier 45,Maintenance,13929.56,2024-06-21
PO174,Supplier 6,Packaging,4778.86,2024-06-22
PO175,Supplier 28,Raw Materials,7750.33,2024-06-23
PO176,Supplier 28,IT Equipment,16763.7,2024-06-24
PO177,Supplier 44,Raw Materials,24149.92,2024-06-25
PO178,Supplier 44,Raw Materials,1735.21,2024-06-26
PO179,Supplier 20,Chemicals,22314.42,2024-06-27
PO180,Supplier 30,Chemicals,14633.59,2024-06-28
PO181,Supplier 11,Packaging,14316.03,2024-06-29
PO182,Supplier 28,Maintenance,12756.82,2024-06-30
PO183,Supplier 25,Packaging,2200.16,2024-07-01
PO184,Supplier 39,Logistics,2701.98,2024-07-02
PO185,Supplier 33,Raw Materials,15222.34,2024-07-03
PO186,Supplier 1,IT Equipment,8853.49,2024-07-04
PO187,Supplier 27,Raw Materials,22973.07,2024-07-05
PO188,Supplier 13,Raw Materials,10461.47,2024-07-06
PO189,Supplier 41,Packaging,4010.4,2024-07-07
PO190,Supplier 3,IT Equipment,18010.61,2024-07-08
PO191,Supplier 39,IT Equipment,7687.16,2024-07-09
PO192,Supplier 6,IT Equipment,13374.02,2024-07-10
PO193,Supplier 8,Packaging,17596.9,2024-07-11
PO194,Supplier 27,Raw Materials,22556.47,2024-07-12
PO195,Supplier 9,Packaging,19908.68,2024-07-13
PO196,Supplier 37,Chemicals,17070.85,2024-07-14
PO197,Supplier 33,Chemicals,17151.01,2024-07-15
PO198,Supplier 42,Packaging,23675.15,2024-07-16
PO199,Supplier 44,IT Equipment,7747.69,2024-07-17
PO200,Supplier 24,Raw Materials,527.25,2024-07-18
PO201,Supplier 15,Packaging,7162.89,2024-07-19
PO202,Supplier 32,Packaging,5838.34,2024-07-20
PO203,Supplier 32,Packaging,16714.95,2024-07-21
PO204,Supplier 24,Logistics,16025.93,2024-07-22
PO205,Supplier 41,Chemicals,15039.8,2024-07-23
PO206,Supplier 49,IT Equipment,897.96,2024-07-24
PO207,Supplier 49,Maintenance,18355.06,2024-07-25
PO208,Supplier 12,IT Equipment,8426.5,2024-07-26
PO209,Supplier 39,Maintenance,16793.87,2024-07-27
PO210,Supplier 2,Logistics,14136.17,2024-07-28
PO211,Supplier 3,Packaging,8896.91,2024-07-29
PO212,Supplier 49,Logistics,3797.12,2024-07-30
PO213,Supplier 37,Logistics,2813.26,2024-07-31
PO214,Supplier 49,Raw Materials,20872.2,2024-08-01
PO215,Supplier 17,Chemicals,23000.74,2024-08-02
PO216,Supplier 49,Maintenance,16419.81,2024-08-03
PO217,Supplier 2,Packaging,3034.14,2024-08-04
PO218,Supplier 2,Maintenance,10349.67,2024-08-05
PO219,Supplier 28,IT Equipment,18359.01,2024-08-06
PO220,Supplier 23,Maintenance,19605.61,2024-08-07
PO221,Supplier 37,IT Equipment,3396.36,2024-08-08
PO222,Supplier 32,Chemicals,500.75,2024-08-09
PO223,Supplier 33,IT Equipment,17947.36,2024-08-10
PO224,Supplier 1,Maintenance,9236.61,2024-08-11
PO225,Supplier 19,Maintenance,6734.79,2024-08-12
PO226,Supplier 2,IT Equipment,815.99,2024-08-13
PO227,Supplier 44,Logistics,13737.34,2024-08-14
PO228,Supplier 26,Chemicals,21353.19,2024-08-15
PO229,Supplier 32,Raw Materials,23961.98,2024-08-16
PO230,Supplier 6,Packaging,14360.75,2024-08-17
PO231,Supplier 32,Maintenance,13104.3,2024-08-18
PO232,Supplier 4,Packaging,2583.88,2024-08-19
PO233,Supplier 11,Raw Materials,13947.38,2024-08-20
PO234,Supplier 17,Packaging,9809.49,2024-08-21
PO235,Supplier 38,Raw Materials,15374.81,2024-08-22
PO236,Supplier 24,IT Equipment,10023.8,2024-08-23
PO237,Supplier 5,Logistics,6387.33,2024-08-24
PO238,Supplier 34,Maintenance,2826.65,2024-08-25
PO239,Supplier 6,Raw Materials,8215.5,2024-08-26
PO240,Supplier 22,Packaging,2867.8,2024-08-27
PO241,Supplier 11,Maintenance,4833.98,2024-08-28
PO242,Supplier 48,Logistics,24689.74,2024-08-29
PO243,Supplier 16,IT Equipment,11380.54,2024-08-30
PO244,Supplier 33,Maintenance,13530.86,2024-08-31
PO245,Supplier 9,Raw Materials,21903.65,2024-09-01
PO246,Supplier 6,Logistics,24891.44,2024-09-02
PO247,Supplier 16,Packaging,14776.5,2024-09-03
PO248,Supplier 29,Logistics,20405.61,2024-09-04
PO249,Supplier 3,Logistics,8510.06,2024-09-05
PO250,Supplier 20,Chemicals,7990.73,2024-09-06
PO251,Supplier 36,Logistics,10366.24,2024-09-07
PO252,Supplier 19,Logistics,16976.43,2024-09-08
PO253,Supplier 26,Maintenance,17213.7,2024-09-09
PO254,Supplier 3,Packaging,8223.37,2024-09-10
PO255,Supplier 19,Maintenance,3763.64,2024-09-11
PO256,Supplier 20,Maintenance,15993.71,2024-09-12
PO257,Supplier 32,Raw Materials,3643.98,2024-09-13
PO258,Supplier 7,Maintenance,14673.07,2024-09-14
PO259,Supplier 41,Chemicals,17488.84,2024-09-15
PO260,Supplier 33,Chemicals,17664.98,2024-09-16
PO261,Supplier 40,Raw Materials,18960.07,2024-09-17
PO262,Supplier 39,IT Equipment,21885.06,2024-09-18
PO263,Supplier 18,Packaging,12749.0,2024-09-19
PO264,Supplier 40,Packaging,18391.11,2024-09-20
PO265,Supplier 1,Maintenance,15669.73,2024-09-21
PO266,Supplier 11,Maintenance,5072.68,2024-09-22
PO267,Supplier 28,IT Equipment,1129.4,2024-09-23
PO268,Supplier 25,Maintenance,7471.26,2024-09-24
PO269,Supplier 50,Packaging,11354.33,2024-09-25
PO270,Supplier 23,Logistics,15619.1,2024-09-26
PO271,Supplier 31,Chemicals,21324.0,2024-09-27
PO272,Supplier 30,Logistics,5308.02,2024-09-28
PO273,Supplier 42,Logistics,3575.97,2024-09-29
PO274,Supplier 35,Packaging,24105.26,2024-09-30
PO275,Supplier 7,Logistics,3147.09,2024-10-01
PO276,Supplier 16,IT Equipment,12223.03,2024-10-02
PO277,Supplier 26,Raw Materials,14846.31,2024-10-03
PO278,Supplier 48,Maintenance,13763.67,2024-10-04
PO279,Supplier 49,Raw Materials,2607.79,2024-10-05
PO280,Supplier 2,Chemicals,1897.16,2024-10-06
PO281,Supplier 1,Maintenance,3084.34,2024-10-07
PO282,Supplier 48,Logistics,14846.9,2024-10-08
PO283,Supplier 12,Chemicals,13836.45,2024-10-09
PO284,Supplier 5,Maintenance,6226.65,2024-10-10
PO285,Supplier 37,IT Equipment,16125.47,2024-10-11
PO286,Supplier 32,IT Equipment,20591.65,2024-10-12
PO287,Supplier 9,IT Equipment,1518.68,2024-10-13
PO288,Supplier 41,IT Equipment,12704.18,2024-10-14
PO289,Supplier 35,Logistics,17388.11,2024-10-15
PO290,Supplier 19,Raw Materials,6681.64,2024-10-16
PO291,Supplier 48,Maintenance,8040.39,2024-10-17
PO292,Supplier 16,Logistics,15534.13,2024-10-18
PO293,Supplier 3,IT Equipment,22499.41,2024-10-19
PO294,Supplier 20,Raw Materials,20343.15,2024-10-20
PO295,Supplier 24,Chemicals,14786.69,2024-10-21
PO296,Supplier 33,Chemicals,18390.43,2024-10-22
PO297,Supplier 24,Chemicals,9438.15,2024-10-23
PO298,Supplier 11,IT Equipment,16203.66,2024-10-24
PO299,Supplier 49,Chemicals,11921.45,2024-10-25
PO300,Supplier 8,Packaging,5153.44,2024-10-26
PO301,Supplier 36,Maintenance,17692.59,2024-10-27
PO302,Supplier 38,Maintenance,14133.38,2024-10-28
PO303,Supplier 40,IT Equipment,9286.23,2024-10-29
PO304,Supplier 20,Packaging,22827.81,2024-10-30
PO305,Supplier 35,Logistics,1012.89,2024-10-31
PO306,Supplier 48,Logistics,8236.44,2024-11-01
PO307,Supplier 25,Chemicals,1893.59,2024-11-02
PO308,Supplier 35,Raw Materials,19279.92,2024-11-03
PO309,Supplier 25,Logistics,17701.63,2024-11-04
PO310,Supplier 29,Raw Materials,8618.13,2024-11-05
PO311,Supplier 18,Maintenance,17053.74,2024-11-06
PO312,Supplier 46,Raw Materials,10200.46,2024-11-07
PO313,Supplier 18,Maintenance,19028.22,2024-11-08
PO314,Supplier 2,Packaging,11627.5,2024-11-09
PO315,Supplier 35,Packaging,10600.85,2024-11-10
PO316,Supplier 16,IT Equipment,23400.88,2024-11-11
PO317,Supplier 41,IT Equipment,6646.54,2024-11-12
PO318,Supplier 36,Chemicals,3450.96,2024-11-13
PO319,Supplier 33,Logistics,14821.31,2024-11-14
PO320,Supplier 4,Chemicals,24248.38,2024-11-15
PO321,Supplier 33,Maintenance,9757.06,2024-11-16
PO322,Supplier 14,Chemicals,2019.9,2024-11-17
PO323,Supplier 21,Raw Materials,8812.98,2024-11-18
PO324,Supplier 48,Maintenance,12895.33,2024-11-19
PO325,Supplier 20,IT Equipment,4467.11,2024-11-20
PO326,Supplier 8,Packaging,16623.5,2024-11-21
PO327,Supplier 7,IT Equipment,24944.86,2024-11-22
PO328,Supplier 3,Logistics,11567.62,2024-11-23
PO329,Supplier 17,Maintenance,9190.85,2024-11-24
PO330,Supplier 33,Maintenance,10317.25,2024-11-25
PO331,Supplier 48,Raw Materials,3321.08,2024-11-26
PO332,Supplier 12,Logistics,22140.2,2024-11-27
PO333,Supplier 22,Packaging,10663.23,2024-11-28
PO334,Supplier 22,Maintenance,9988.22,2024-11-29
PO335,Supplier 46,Maintenance,16662.41,2024-11-30
PO336,Supplier 30,Raw Materials,11329.82,2024-12-01
PO337,Supplier 38,Chemicals,16381.72,2024-12-02
PO338,Supplier 38,Packaging,2005.43,2024-12-03
PO339,Supplier 45,IT Equipment,20436.22,2024-12-04
PO340,Supplier 8,Logistics,23542.35,2024-12-05
PO341,Supplier 27,Maintenance,16394.75,2024-12-06
PO342,Supplier 27,Maintenance,23886.87,2024-12-07
PO343,Supplier 34,IT Equipment,4210.09,2024-12-08
PO344,Supplier 21,Packaging,12196.7,2024-12-09
PO345,Supplier 30,Chemicals,15244.26,2024-12-10
PO346,Supplier 33,Maintenance,14752.55,2024-12-11
PO347,Supplier 28,Packaging,10335.81,2024-12-12
PO348,Supplier 47,IT Equipment,8783.07,2024-12-13
PO349,Supplier 33,Raw Materials,3607.19,2024-12-14
PO350,Supplier 5,Chemicals,10097.69,2024-12-15
PO351,Supplier 48,Logistics,4485.19,2024-12-16
PO352,Supplier 19,Maintenance,18491.96,2024-12-17
PO353,Supplier 4,Packaging,5616.36,2024-12-18
PO354,Supplier 35,Raw Materials,1934.85,2024-12-19
PO355,Supplier 49,Logistics,14032.97,2024-12-20
PO356,Supplier 17,Packaging,15083.13,2024-12-21
PO357,Supplier 44,Packaging,21861.87,2024-12-22
PO358,Supplier 28,Logistics,14636.05,2024-12-23
PO359,Supplier 30,Raw Materials,8964.28,2024-12-24
PO360,Supplier 29,IT Equipment,20173.79,2024-12-25
PO361,Supplier 46,Raw Materials,13736.83,2024-12-26
PO362,Supplier 6,Chemicals,2442.37,2024-12-27
PO363,Supplier 35,Maintenance,14363.34,2024-12-28
PO364,Supplier 41,Logistics,22746.45,2024-12-29
PO365,Supplier 37,IT Equipment,10209.66,2024-12-30
PO366,Supplier 24,Logistics,7759.98,2024-12-31
PO367,Supplier 29,Logistics,4015.0,2025-01-01
PO368,Supplier 49,Raw Materials,4210.42,2025-01-02
PO369,Supplier 46,Maintenance,11102.9,2025-01-03
PO370,Supplier 31,Chemicals,15094.16,2025-01-04
PO371,Supplier 35,Packaging,2475.08,2025-01-05
PO372,Supplier 33,Packaging,23519.43,2025-01-06
PO373,Supplier 21,Logistics,19000.77,2025-01-07
PO374,Supplier 32,Maintenance,14872.29,2025-01-08
PO375,Supplier 23,IT Equipment,20796.75,2025-01-09
PO376,Supplier 33,Raw Materials,2464.58,2025-01-10
PO377,Supplier 3,Maintenance,12182.55,2025-01-11
PO378,Supplier 18,Maintenance,15937.28,2025-01-12
PO379,Supplier 25,Raw Materials,20802.0,2025-01-13
PO380,Supplier 42,Logistics,19695.0,2025-01-14
PO381,Supplier 31,Maintenance,7288.2,2025-01-15
PO382,Supplier 3,Packaging,23551.56,2025-01-16
PO383,Supplier 40,Raw Materials,3546.47,2025-01-17
PO384,Supplier 46,IT Equipment,21940.77,2025-01-18
PO385,Supplier 24,Chemicals,24288.04,2025-01-19
PO386,Supplier 50,Logistics,4840.26,2025-01-20
PO387,Supplier 32,Raw Materials,18190.62,2025-01-21
PO388,Supplier 47,Chemicals,1487.0,2025-01-22
PO389,Supplier 22,Chemicals,10432.86,2025-01-23
PO390,Supplier 23,IT Equipment,13148.94,2025-01-24
PO391,Supplier 2,Maintenance,14725.81,2025-01-25
PO392,Supplier 27,IT Equipment,23430.46,2025-01-26
PO393,Supplier 42,Maintenance,16970.14,2025-01-27
PO394,Supplier 2,Maintenance,12291.31,2025-01-28
PO395,Supplier 26,Raw Materials,20337.04,2025-01-29
PO396,Supplier 17,Raw Materials,23788.05,2025-01-30
PO397,Supplier 40,Logistics,1040.62,2025-01-31
PO398,Supplier 33,Maintenance,24571.77,2025-02-01
PO399,Supplier 9,Chemicals,2610.24,2025-02-02
PO400,Supplier 43,Packaging,20452.48,2025-02-03
PO401,Supplier 48,Logistics,7368.2,2025-02-04
PO402,Supplier 39,Raw Materials,3738.4,2025-02-05
PO403,Supplier 29,IT Equipment,11276.46,2025-02-06
PO404,Supplier 42,Logistics,16276.94,2025-02-07
PO405,Supplier 26,Logistics,9833.32,2025-02-08
PO406,Supplier 35,Logistics,1836.85,2025-02-09
PO407,Supplier 50,Logistics,15186.8,2025-02-10
PO408,Supplier 25,Packaging,22608.88,2025-02-11
PO409,Supplier 24,IT Equipment,9888.78,2025-02-12
PO410,Supplier 13,IT Equipment,5800.15,2025-02-13
PO411,Supplier 7,IT Equipment,11343.14,2025-02-14
PO412,Supplier 36,Maintenance,1684.89,2025-02-15
PO413,Supplier 45,Chemicals,20601.95,2025-02-16
PO414,Supplier 20,IT Equipment,20745.35,2025-02-17
PO415,Supplier 1,Logistics,14906.01,2025-02-18
PO416,Supplier 8,Logistics,9151.02,2025-02-19
PO417,Supplier 46,IT Equipment,20094.69,2025-02-20
PO418,Supplier 16,IT Equipment,14089.83,2025-02-21
PO419,Supplier 14,Logistics,20735.34,2025-02-22
PO420,Supplier 12,Maintenance,15970.74,2025-02-23
PO421,Supplier 23,Raw Materials,19717.93,2025-02-24
PO422,Supplier 15,Raw Materials,15164.79,2025-02-25
PO423,Supplier 28,IT Equipment,10646.46,2025-02-26
PO424,Supplier 34,Packaging,23969.67,2025-02-27
PO425,Supplier 2,IT Equipment,13757.29,2025-02-28
PO426,Supplier 32,IT Equipment,15324.69,2025-03-01
PO427,Supplier 23,Raw Materials,5901.95,2025-03-02
PO428,Supplier 22,Logistics,15828.44,2025-03-03
PO429,Supplier 25,IT Equipment,14504.39,2025-03-04
PO430,Supplier 22,Logistics,5028.54,2025-03-05
PO431,Supplier 22,Logistics,1959.88,2025-03-06
PO432,Supplier 49,Packaging,15306.8,2025-03-07
PO433,Supplier 42,Logistics,19210.46,2025-03-08
PO434,Supplier 6,Raw Materials,13323.33,2025-03-09
PO435,Supplier 15,Maintenance,6055.93,2025-03-10
PO436,Supplier 43,Maintenance,16829.79,2025-03-11
PO437,Supplier 37,Chemicals,2462.59,2025-03-12
PO438,Supplier 33,IT Equipment,11324.93,2025-03-13
PO439,Supplier 8,Raw Materials,4502.49,2025-03-14
PO440,Supplier 44,Logistics,5019.25,2025-03-15
PO441,Supplier 44,Maintenance,5456.2,2025-03-16
PO442,Supplier 5,Raw Materials,9974.32,2025-03-17
PO443,Supplier 39,Maintenance,1753.18,2025-03-18
PO444,Supplier 4,Logistics,10245.94,2025-03-19
PO445,Supplier 6,Maintenance,13036.83,2025-03-20
PO446,Supplier 45,IT Equipment,12340.71,2025-03-21
PO447,Supplier 32,IT Equipment,9878.21,2025-03-22
PO448,Supplier 30,Chemicals,21059.09,2025-03-23
PO449,Supplier 47,Chemicals,4060.5,2025-03-24
PO450,Supplier 35,Maintenance,12889.57,2025-03-25
PO451,Supplier 40,Raw Materials,2020.01,2025-03-26
PO452,Supplier 16,IT Equipment,2243.31,2025-03-27
PO453,Supplier 13,Raw Materials,14559.71,2025-03-28
PO454,Supplier 50,Raw Materials,14367.45,2025-03-29
PO455,Supplier 42,Maintenance,22011.82,2025-03-30
PO456,Supplier 30,Raw Materials,14167.91,2025-03-31
PO457,Supplier 19,IT Equipment,24014.88,2025-04-01
PO458,Supplier 17,Logistics,1693.02,2025-04-02
PO459,Supplier 19,Chemicals,2901.19,2025-04-03
PO460,Supplier 28,Logistics,1579.61,2025-04-04
PO461,Supplier 26,Raw Materials,5039.28,2025-04-05
PO462,Supplier 37,Logistics,13761.12,2025-04-06
PO463,Supplier 26,IT Equipment,16316.52,2025-04-07
PO464,Supplier 23,IT Equipment,1616.84,2025-04-08
PO465,Supplier 9,Raw Materials,23676.29,2025-04-09
PO466,Supplier 12,Maintenance,21133.05,2025-04-10
PO467,Supplier 1,Logistics,7767.01,2025-04-11
PO468,Supplier 1,Maintenance,2391.09,2025-04-12
PO469,Supplier 47,Maintenance,4662.23,2025-04-13
PO470,Supplier 34,Packaging,3610.14,2025-04-14
PO471,Supplier 32,Raw Materials,3520.45,2025-04-15
PO472,Supplier 48,Chemicals,13204.76,2025-04-16
PO473,Supplier 25,IT Equipment,6523.26,2025-04-17
PO474,Supplier 40,IT Equipment,9274.42,2025-04-18
PO475,Supplier 45,Raw Materials,24742.88,2025-04-19
PO476,Supplier 1,Chemicals,17265.7,2025-04-20
PO477,Supplier 16,IT Equipment,23750.03,2025-04-21
PO478,Supplier 39,Raw Materials,3992.64,2025-04-22
PO479,Supplier 5,IT Equipment,9862.42,2025-04-23
PO480,Supplier 22,Maintenance,14090.93,2025-04-24
